Comment ID,Channel ID,Comment Create Timestamp,Price,Video ID,Comment Text
Ugxkz8eqjYSDWWyMjDl4AaABAg,UCn3WLZT7k8nO24XimlJVJVQ,2009-11-05T00:05:01+00:00,0,ehkIh8F7NTA,"{""text"":""OMG The new stupid ads are gay. It took like a minute to load. GOD""}"
UgzuMSsCV2OblviUV894AaABAg,UCn3WLZT7k8nO24XimlJVJVQ,2009-11-04T03:52:45+00:00,0,MebbMzdmwVM,"{""text"":""He's back now apparently.""}"
UgwVJmFQ9umWVlKO6IF4AaABAg,UCn3WLZT7k8nO24XimlJVJVQ,2009-11-03T16:03:43+00:00,0,CvIumGzMKZ4,"{""text"":""yeah i remember i was like 8 when i jumped of it. i hit the water really hard and i went like 4.5 metres deep and it was hard to get up without taking a breath of water. btw i live in bracebridge muskoka and we do lots of events and im gonna start filming 'em. Everytime theres a fire in my town... ill be there. =3""}"
UgzpPiLuSOdlDi6IOat4AaABAg,UCn3WLZT7k8nO24XimlJVJVQ,2009-11-03T15:57:57+00:00,0,CvIumGzMKZ4,"{""text"":""yeah i can remember i was 8 maybe and i didnt dive. its really hard to get back up if you dont jump in properly""}"
UgzDxAgG-fE1wAowXEB4AaABAg,UCn3WLZT7k8nO24XimlJVJVQ,2009-11-03T03:01:04+00:00,0,jIbf7uRr680,"{""text"":""POLL: Shit""}"
Ugyx3BuTXMZpI00JDO14AaABAg,UCn3WLZT7k8nO24XimlJVJVQ,2009-11-02T21:48:42+00:00,0,EF8jaTLIzM4,"{""text"":""Anybody heard of Orville James Thompson is? Rapist in Ajax. Although I wish I still lived there. I moved there from Scarborough when I was 1. For 9 years I lived there. I remember all the years when the houses beside Wendy's used to just be an empty are walled by blue wall... Good times.""}"
UgwtM-pXX6sa8MyU1xp4AaABAg,UCn3WLZT7k8nO24XimlJVJVQ,2009-11-02T17:33:47+00:00,0,mcIH8OuH-Ro,"{""text"":""A game called punch yourself in the crotch...\n\n...Oh wait.""}"
UgxRi5ZzfO_-SCJLNrV4AaABAg,UCn3WLZT7k8nO24XimlJVJVQ,2009-10-29T21:16:43+00:00,0,OUV_3pMAtmc,"{""text"":""13077 views in 1 day? HOLY CRAP""}"
Ugzn4mwHmN4dKhh6t_R4AaABAg,UCn3WLZT7k8nO24XimlJVJVQ,2009-10-26T22:19:35+00:00,0,SR3-n_2vaz8,"{""text"":""5 Stars for a gay British accent.""}"
UgwIPS97OzJ-zDm5z1l4AaABAg,UCn3WLZT7k8nO24XimlJVJVQ,2009-10-26T03:03:39+00:00,0,Dd2XDbPSiLM,"{""text"":""*silence because there would be no life on this planet without sex*""}"
