Comment ID,Channel ID,Comment Create Timestamp,Price,Parent Comment ID,Post ID,Video ID,Comment Text,Top-Level Comment ID
UgwiLgAyWxZcTILe__V4AaABAg,UCn3WLZT7k8nO24XimlJVJVQ,2018-10-17T22:04:59.167057+00:00,0,,,N9iw97U-DAI,"{""text"":""SHE THOUGHT THE BITCH WAS WHIIIITE GODDAMNIT""}",
UgzXvvMF-JeN1qA19pV4AaABAg,UCn3WLZT7k8nO24XimlJVJVQ,2018-10-11T15:58:10.825016+00:00,0,,,OGbqYqk0cdU,"{""text"":""You know Toriyama, all about subverting expectation. We expect the characters to grow and tell a story so, more power level marketing!""}",
UgwxZtbfvy2IGgtBmop4AaABAg,UCn3WLZT7k8nO24XimlJVJVQ,2018-10-11T03:50:31.080688+00:00,0,,,brpl2ZlDlAc,"{""text"":""Limitless!""}",
Ugz3uVst7whIKPLfRLF4AaABAg,UCn3WLZT7k8nO24XimlJVJVQ,2018-10-10T18:25:40.32976+00:00,0,,,wILTPumur0E,"{""text"":""Ladies and gentlemen, we got him.""}",
UgyqFhZjR0DZtY-Skpp4AaABAg,UCn3WLZT7k8nO24XimlJVJVQ,2018-10-10T05:40:19.623337+00:00,0,,,xNnG3ayRjtU,"{""text"":""Wow!""}",
UgxA8a63S5U9rqVFkAB4AaABAg.8m7sJys1nMg8m9UZmEGLxQ,UCn3WLZT7k8nO24XimlJVJVQ,2018-10-08T21:27:14.177952+00:00,0,UgxA8a63S5U9rqVFkAB4AaABAg,,WOzrypF9L0c,"{""text"":""Depends where you get it from. APK mirror is pretty reputable, depending on what you're downloading.""}",UgxA8a63S5U9rqVFkAB4AaABAg
UgyFlusEitJCieWZAEl4AaABAg,UCn3WLZT7k8nO24XimlJVJVQ,2018-10-04T02:58:51.70168+00:00,0,,,NTkpiEKHo-8,"{""text"":""Human music. I like it.""}",
UgxJBwHMQkgYN2x2-Dl4AaABAg,UCn3WLZT7k8nO24XimlJVJVQ,2018-10-02T16:40:56.079977+00:00,0,,,YZAOFJQi1oI,"{""text"":""Buu's Sealed Ball""},{""text"":""\n""},{""text"":""Lucile Ball""},{""text"":""\n""},{""text"":""Lucio Ball""},{""text"":""\n""},{""text"":""Overwatch 2 confirmed""}",
UgwbfLns-LMzHM_e25N4AaABAg,UCn3WLZT7k8nO24XimlJVJVQ,2018-10-01T00:36:38.304343+00:00,0,,,hD7L0UdDjVM,"{""text"":""No nose picking in the thumbnail! Only ass picking.""}",
UgytqWYhBf3IG2IRWhV4AaABAg.8lnRvFGkZlw8lpWL90qwoo,UCn3WLZT7k8nO24XimlJVJVQ,2018-09-30T17:58:39.879617+00:00,0,UgytqWYhBf3IG2IRWhV4AaABAg,,6_GGBrnbSVM,"{""text"":""No, the only way to consume such a symphony of stupid would be transmitted via AM radio.""}",UgytqWYhBf3IG2IRWhV4AaABAg
UgzVZey4_5MFvQX9CSp4AaABAg,UCn3WLZT7k8nO24XimlJVJVQ,2018-09-25T23:10:25.561919+00:00,0,,,3MWvDgdRWQ4,"{""text"":""Joe \""Shmoe\"" Rogan""}",
UgxWggPypwEAtXYSpY94AaABAg.8lca_n7REy48lcgJH6RAdQ,UCn3WLZT7k8nO24XimlJVJVQ,2018-09-25T18:24:23.999433+00:00,0,UgxWggPypwEAtXYSpY94AaABAg,,guEif6WoH3I,"{""text"":""No homophobia intended, it's just that this channel is becoming less and less about drug education and more about crazy stories that happened while on drugs. It was The Joker video that did it for me, this one just pushed me over the edge.""}",UgxWggPypwEAtXYSpY94AaABAg
UgxWggPypwEAtXYSpY94AaABAg,UCn3WLZT7k8nO24XimlJVJVQ,2018-09-25T17:34:22.097445+00:00,0,,,guEif6WoH3I,"{""text"":""Well. I've literally just reached my limit with this channel. See ya!""}",
Ugw95AP6SMIkqNopgKR4AaABAg,UCn3WLZT7k8nO24XimlJVJVQ,2018-09-25T17:23:56.598029+00:00,0,,,B7q4YsqsGyE,"{""text"":""4:02"",""videoLink"":{""externalVideoId"":""B7q4YsqsGyE"",""startTimeSeconds"":242}},{""text"":"" SHAD NO""}",
UgzjKpLaJTkwDQzS3-N4AaABAg.8l_qM-e6qkD8la18EMdu46,UCn3WLZT7k8nO24XimlJVJVQ,2018-09-24T17:37:24.653986+00:00,0,UgzjKpLaJTkwDQzS3-N4AaABAg,,IbGOPvI5Owk,"{""text"":""No one cares.""}",UgzjKpLaJTkwDQzS3-N4AaABAg
UgzzSIDVFqc_R8T4W8J4AaABAg,UCn3WLZT7k8nO24XimlJVJVQ,2018-09-23T21:31:23.143627+00:00,0,,,MX5KmJOxExY,"{""text"":""clickbaited""}",
Ugw9tAb_P-ZM2thWXyV4AaABAg,UCn3WLZT7k8nO24XimlJVJVQ,2018-09-20T23:56:11.847117+00:00,0,,,sUERFF5QSuc,"{""text"":""Almost 1 year ago wow.""}",
UgyNbfAG7yHHiXNREQp4AaABAg,UCn3WLZT7k8nO24XimlJVJVQ,2018-09-20T02:12:23.23746+00:00,0,,,jWQxHIaeNCs,"{""text"":""Cib I have the fastest residential Internet in Canada (1000mbps UP/DOWN) and it's cheaper than Bell. Times are changing big boy.""}",
UgwMqgE4o6_jrlWWPap4AaABAg,UCn3WLZT7k8nO24XimlJVJVQ,2018-09-20T00:52:27.08137+00:00,0,,,zJ3qtWOz9tE,"{""text"":""PERFECT""}",
UgwBZp4tv8mGmLSzNVp4AaABAg,UCn3WLZT7k8nO24XimlJVJVQ,2018-09-19T02:32:56.566706+00:00,0,,,MpZPAHWC6Bk,"{""text"":""Damn son where'd you find this""}",
UgzY5_thi1ETPDAeUvR4AaABAg,UCn3WLZT7k8nO24XimlJVJVQ,2018-09-18T14:09:43.767596+00:00,0,,,axNIaCKfqJg,"{""text"":""I see where your going with this Masako and I'ma let you finish but... If Gohan went Super Saiyan on Earth, that means Dr. Gero would know about it. The Androids would be much stronger.""}",
UgyJIaqOL6N08Lp8ArR4AaABAg,UCn3WLZT7k8nO24XimlJVJVQ,2018-09-16T20:06:30.024183+00:00,0,,,z95fi3uazYA,"{""text"":""Never in my life have I needed something so much and not known it until I've received it. On behalf of all Dragon Ball fans out there, I need to say you guys knocked it out of the fucking park. Bravo.""}",
Ugx6LHH4PzaYGrrwVV14AaABAg,UCn3WLZT7k8nO24XimlJVJVQ,2018-09-12T22:24:30.983184+00:00,0,,,9RIpVb8oRy4,"{""text"":""Fuck bud, Cib doesn't even know that Newfies are the hicks of Canada.""},{""text"":""\n""},{""text"":""Now let's go get some fuckin fritters!""}",
Ugy3aVbfWoiBnnHbToV4AaABAg,UCn3WLZT7k8nO24XimlJVJVQ,2018-09-10T20:35:07.72368+00:00,0,,,9KXtWfjeRmY,"{""text"":""Yeaman.""}",
UgyAuHgW-X74y937iO14AaABAg,UCn3WLZT7k8nO24XimlJVJVQ,2018-09-09T04:15:21.334993+00:00,0,,,EoI8-P1MpA0,"{""text"":""bullshit""}",
Ugz80BDZ29I8gsfxXg94AaABAg,UCn3WLZT7k8nO24XimlJVJVQ,2018-09-08T19:56:46.457382+00:00,0,,,tYyRUPSBqbI,"{""text"":""\""No substances are consumed in this video\"" - ""},{""text"":""6:13"",""videoLink"":{""externalVideoId"":""tYyRUPSBqbI"",""startTimeSeconds"":373}},{""text"":""\n""},{""text"":""Queue Curb Your Enthusiasm Theme""},{""text"":""\n""},{""text"":""Seriously and you wonder why this channel gets deleted like every few months.""}",
Ugx7lIW_r-6hMM7WdpZ4AaABAg,UCn3WLZT7k8nO24XimlJVJVQ,2018-09-07T14:07:41.454981+00:00,0,,,ycPr5-27vSI,"{""text"":""HO LEE SHIT""}",
Ugy5niXA1lfVg3Ruovp4AaABAg,UCn3WLZT7k8nO24XimlJVJVQ,2018-09-06T04:54:42.695495+00:00,0,,,nSmggQZno6w,"{""text"":""Joe doesn't seem to understand a thing about how government actually works.""}",
UgxzhLCBXuMagvy31xp4AaABAg.8kpTWx_xddn8kq8DZcCVKX,UCn3WLZT7k8nO24XimlJVJVQ,2018-09-06T03:15:45.589471+00:00,0,UgxzhLCBXuMagvy31xp4AaABAg,,khshvZHBMCQ,"{""text"":""James Buckley is bigfoot.""}",UgxzhLCBXuMagvy31xp4AaABAg
UgxzLyGU1fELzocGOrJ4AaABAg,UCn3WLZT7k8nO24XimlJVJVQ,2018-09-05T01:09:17.155838+00:00,0,,,0J776g8isRE,"{""text"":""I had a Rucka reupload account! It got deleted by JewTube.""}",
UgzdN8UL0g_83lLKMF94AaABAg,UCn3WLZT7k8nO24XimlJVJVQ,2018-09-04T21:59:45.212389+00:00,0,,,4sNCyiyIc_8,"{""text"":""This beef gonna end with them both holding hands in the end. Just like KSI vs Jake Paul.""}",
UgyIdmYSbKdMDtn6tgJ4AaABAg,UCn3WLZT7k8nO24XimlJVJVQ,2018-09-04T19:07:00.593509+00:00,0,,,MfTbHITdhEI,"{""text"":""\""Til we grow beards get weird and disappear into the mountains, ""},{""text"":""\n""},{""text"":""nothing but clowns down here, but WE aint fucking around round HERE ""},{""text"":""\n""},{""text"":""yo Dre, can I get a hell yeah now\""""}",
UgxtC5zwcg77b74DCqt4AaABAg,UCn3WLZT7k8nO24XimlJVJVQ,2018-09-04T18:21:19.379248+00:00,0,,,obhaZ9fI11Q,"{""text"":""for real""}",
