sent_at,subject,response_status,note
2026-06-29T16:53:18-04:00,Urgent request for appropriate referral and support,unresponded,"Thread contains only sent follow-ups; no later inbound reply found."
2026-06-29T17:05:31-04:00,Final Word Before I Stop Bothering You,unresponded,"Thread contains only the sent message; no later inbound reply found."
2026-07-02T14:21:12-04:00,Advocacy not accessible.,unresponded,"Thread contains only the sent message; no later inbound reply found."
2026-07-20T13:38:21-07:00,Request for Support,responded,"A later inbound reply appears in the same Gmail thread."
2026-07-28T15:35:32-05:00,Final coordinated request: immediate human advocacy and accountability for Thomas Harrison,responded,"A later inbound ReportON reply appears in the same Gmail thread."
2026-09-14T16:33:49-04:00,STOP LEAVING ME HERE TO ROT ALONE,unresponded,"No later inbound human reply found in the same Gmail thread."
2026-09-15T08:44:37-05:00,FORMAL NOTICE: ACCESSIBLE SUPPORT HAS FAILED TODAY,unresponded,"Thread contains only the sent message; no later inbound reply found."
2026-09-15T10:24:38-04:00,ONE EMAIL TO EVERYONE: MY DOCUMENTED OUTREACH AND THE SUPPORT GAP THAT REMAINS,unresponded,"No later inbound human reply found; automated delivery failure is not counted as a response."
2026-09-15T13:04:49-05:00,The Context of These Emails No One Has Taken Accountability For,unresponded,"No later inbound human reply found; automated delivery failure is not counted as a response."
2026-09-15T18:40:35-05:00,THIS HAS TO STOP: I AM BEING DEPRIVED OF SUPPORT,unresponded,"No later inbound human reply found; automated delivery failure is not counted as a response."
2026-09-15T19:58:45-05:00,"Mom, please reply: I need support to give informed consent",unresponded,"Thread contains sent messages only; no later inbound reply found."
2026-09-16T12:53:15-07:00,HOW DARE YOU,unresponded,"Thread contains sent messages only; no later inbound reply found."
2026-09-16T13:47:30-07:00,Re: HOW DARE YOU,unresponded,"Thread contains sent messages only; no later inbound reply found."
2026-09-16T13:56:51-07:00,URGENT: I Cannot Be The Only Person Responsible For Keeping Myself Supported Today,unresponded,"No later inbound human reply found; automated delivery failure to one CMHA address is not counted as a response."
2026-09-16T13:59:22-07:00,PLEASE SOMEONE RESPOND,unresponded,"No later inbound human reply found; automated delivery failures are not counted as responses."
